symbol,interval_sc,open_timestamp_ms,open,high,low,close,volume
BTC-USDT,60,1761372900000,111406.14,111406.15,111406.14,111406.14,0.49976
BTC-USDT,60,1761372960000,111406.14,111406.15,111389.38,111389.38,2.18462
BTC-USDT,60,1761373020000,111389.38,111400.58,111389.38,111400.58,0.68109
BTC-USDT,60,1761373080000,111400.58,111400.58,111394.33,111394.33,1.1436
BTC-USDT,60,1761373140000,111394.34,111406.15,111394.33,111406.15,1.71098
BTC-USDT,60,1761373200000,111406.15,111406.15,111364.41,111367.19,2.83968
BTC-USDT,60,1761373260000,111367.19,111392.69,111367.19,111392.69,3.13099
BTC-USDT,60,1761373320000,111392.69,111392.69,111356.68,111363.37,4.71479
BTC-USDT,60,1761373380000,111363.36,111363.37,111353.68,111353.69,0.45436
BTC-USDT,60,1761373440000,111353.69,111353.69,111314.79,111314.79,2.77527
BTC-USDT,60,1761373500000,111314.79,111337.67,111314.79,111337.67,1.34421
BTC-USDT,60,1761373560000,111337.66,111345.09,111335.92,111335.93,2.92458
BTC-USDT,60,1761373620000,111335.93,111335.93,111308.99,111309.77,7.58286
BTC-USDT,60,1761373680000,111309.77,111309.77,111308.0,111308.01,2.26855
BTC-USDT,60,1761373740000,111308.01,111324.93,111308.0,111319.8,3.50031
BTC-USDT,60,1761373800000,111319.8,111319.8,111268.51,111268.52,14.81056
BTC-USDT,60,1761373860000,111268.52,111315.23,111268.51,111315.22,3.84088
BTC-USDT,60,1761373920000,111315.23,111333.98,111315.22,111333.98,3.00832
BTC-USDT,60,1761373980000,111333.97,111333.99,111265.92,111280.23,15.01573
BTC-USDT,60,1761374040000,111280.24,111294.71,111268.04,111283.14,8.1322
BTC-USDT,60,1761374100000,111283.15,111283.15,111283.13,111283.14,2.252
BTC-USDT,60,1761374160000,111283.13,111305.86,111261.01,111299.99,13.10414
BTC-USDT,60,1761374220000,111299.99,111299.99,111262.92,111298.11,22.24606
BTC-USDT,60,1761374280000,111298.11,111304.79,111298.11,111304.78,2.51638
BTC-USDT,60,1761374340000,111304.79,111304.79,111267.51,111274.5,12.22113
BTC-USDT,60,1761374400000,111274.5,111321.42,111274.5,111321.41,4.24867
BTC-USDT,60,1761374460000,111321.42,111321.42,111321.41,111321.42,4.38757
BTC-USDT,60,1761374520000,111321.42,111353.24,111316.95,111353.22,8.93001
BTC-USDT,60,1761374580000,111353.23,111363.37,111353.14,111353.14,3.83319
BTC-USDT,60,1761374640000,111353.14,111366.94,111353.11,111366.93,3.17882
BTC-USDT,60,1761374700000,111366.94,111394.77,111366.93,111384.67,7.64556
BTC-USDT,60,1761374760000,111384.66,111422.27,111384.66,111416.71,20.62466
BTC-USDT,60,1761374820000,111416.71,111416.71,111407.31,111407.32,7.20307
BTC-USDT,60,1761374880000,111407.31,111416.99,111407.31,111416.99,4.01614
BTC-USDT,60,1761374940000,111416.99,111438.62,111416.99,111438.61,6.0498
